AP - 动作电位,M000222,AP,动作电位,,abbr.,生物,,"AP stands for action potential, which is a rapid rise and fall in membrane potential in neurons.","The neuron fired, generating an AP that propagated along the axon.",,,251012B036,
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,Mammalian creatures are characterized by their ability to nurse their young with milk.,"Whales are the largest mammals, demonstrating the diverse forms of mammalian life in the ocean.",,,251012B036,
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnænɪkl ˈaɪənɪk dɪsˈtrɪbjuːʃənz/,P.,物理,,Canonical ionic distributions describe the typical arrangement of ions in a given phase.,"In solid-state physics, researchers analyze canonical ionic distributions to understand the lattice structure of crystals.",canonical ionic distributions,typical_arrangement_of_ions_in_a_given_phase,251012B036,
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd pəˈtɛnʃəlz/,P.,生物,,Graded (passive) potentials are changes in membrane potential that vary in size and are generated by the influx of ions.,"In a neuron, graded (passive) potentials occur when neurotransmitters bind to receptors and alter the membrane potential.",,,251012B036,
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,,,Threshold potential refers to the minimum level of stimulus required to trigger an action potential in a neuron.,"In neuroscience, the threshold potential is critical for understanding how neurons fire and communicate.",threshold potential,minimum_level_of_stimulus,251012B036,
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərʃut/,vt.,軍事,,"To overshoot means to go beyond a target or limit, such as when a rocket overshoots its intended orbit.","The missile overshot its target by several kilometers, causing concern among the military officials.",over shoot,beyond target,251012B036,
Undershoot - 下冲,M000248,Undershoot,下冲,/ˈʌndərˌʃut/,vt.,體育,,To undershoot is to fall short of reaching a target or goal.,The archer tended to undershoot the target when nervous during competitions.,,,251012B036,
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vt.,,,"Drift refers to the gradual movement of an object from one place to another, such as a car that drifts around a corner.","The snowboarder decided to drift down the slope effortlessly, enjoying the fresh powder.",,,251012B036,
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,,abbr.,生物,,V-G ion channels are essential for the conduction of electrical signals in neurons.,The study focused on the role of V-G ion channels in regulating heart rhythm.,,,251012B036,
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɒd/,n.,生物,,A gastropod is a type of mollusk that typically has a single spiral shell and a distinct head with tentacles.,"Snails and slugs are both examples of gastropods, which are found in diverse environments.",,,251012B036,
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/noʊdz əv ˈrænvɪər/,P.,生物,,Nodes of Ranvier are gaps in the myelin sheath that facilitate rapid conduction of nerve impulses.,The nodes of Ranvier are crucial for the saltatory conduction in myelinated neurons.,,,251012B036,
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/sælˈteɪtəri kənˈdʌkʃən/,P.,醫學,,Saltatory conduction is the process by which nerve impulses jump from one node of Ranvier to another along myelinated axons.,"In the study of neurology, researchers often examine how saltatory conduction enhances the speed of signal transmission in the nervous system.",saltatory conduction,jumping_transmission,251012B036,
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,醫學,,Pathologies refer to the study of diseases and the changes they cause in the body.,"In her research, she published several papers on various pathologies affecting the respiratory system.",,,251012B036,
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəʊɪˈmjuːn/,adj.,醫學,,"An autoimmune disease occurs when the body's immune system mistakenly attacks its own tissues, highlighting an autoimmune condition.","In rheumatoid arthritis, which is an autoimmune disorder, the immune system targets the joints causing inflammation and pain.",,,251012B036,
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,,P.,醫學,,Multiple sclerosis is a chronic disease affecting the central nervous system and causing various neurological symptoms.,"After being diagnosed with multiple sclerosis, she joined a support group to connect with others facing the same challenges.",,,251012B036,
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,,abbr.,醫學,,Guillain-Barré syndrome is a rare neurological disorder in which the body's immune system mistakenly attacks the peripheral nerves.,"After experiencing muscle weakness and tingling in her limbs, she was diagnosed with Guillain-Barré syndrome at the hospital.",,,251012B036,
