AP - 动作电位,M000222,AP,动作电位,,abbr.,,,"AP stands for action potential, which is a significant electrical change in a neuron.","During the experiment, we measured the AP generated by the neurons in response to stimuli.",,,251007B036,「2。0测试」
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnænɪkəl ˈaɪənɪk dɪsˈtrɪbjuːʃənz/,P.,,,Canonical ionic distributions refer to the typical arrangements of ions in a particular state or environment.,"When studying the properties of crystals, scientists analyze the canonical ionic distributions to understand their stability.",canonical ionic distributions,typical_arrangements_of_ions,251007B036,「2。0测试」
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd pəˈtɛnʃəlz/,P.,生物,,Graded (passive) potentials refer to the changes in membrane potential that are proportional to the stimulus applied.,"In neurophysiology, graded (passive) potentials can vary in magnitude and can be integrated over time and space by the neuron.",,,251007B036,「2。0测试」
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,生物,,Threshold potential is the minimum voltage that must be reached for an action potential to be triggered in a neuron.,"When the stimulus reaches the threshold potential, the neuron fires an action potential.",,,251007B036,「2。0测试」
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərˌʃut/,vt.,體育,,To overshoot means to go beyond the intended target or limit.,The athlete managed to overshoot the mark during the long jump competition.,,,251007B036,「2。0测试」
Undershoot - 下冲,M000248,Undershoot,下冲,/ˈʌndərʃut/,vt.,體育,,To undershoot means to fall short of a target or goal.,"The archer managed to undershoot the target, missing it by several feet.",,,251007B036,「2。0测试」
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,,,"To drift means to be carried along by currents of air or water, which often applies when a boat drifts on the surface of the sea.","As the strong winds picked up, the leaves began to drift across the yard.",,,251007B036,「2。0测试」
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,,abbr.,生物,,V-G ion channels are essential for propagating electrical signals in neurons.,Research has shown that V-G ion channels play a critical role in muscle contraction and nerve signal transmission.,,,251007B036,「2。0测试」
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstroʊˌpɒd/,n.,生物,,"A gastropod is a type of mollusk that typically has a single, spiral shell and a muscular foot for locomotion.","The garden was home to many gastropods, including snails and slugs, which were often found on the damp soil.",,,251007B036,「2。0测试」
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/noʊdz əv ˈrænvieɪ/,P.,生物,,Nodes of Ranvier are gaps in the myelin sheath where action potentials are regenerated.,The conduction velocity of nerve impulses is increased by the presence of Nodes of Ranvier.,,,251007B036,「2。0测试」
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/sælˈtɔːtəri kənˈdʌkʃən/,P.,生物,,Saltatory conduction refers to the process where nerve impulses jump between nodes of Ranvier on myelinated axons.,"In the nervous system, saltatory conduction increases the speed of signal transmission along the axon.",saltatory conduction,jumping_transmission,251007B036,「2。0测试」
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,醫學,,Pathologies are the scientific study of diseases and their effects on the body.,The conference focused on the latest discoveries in pathologies related to autoimmune disorders.,,,251007B036,「2。0测试」
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəˈɪmjun/,adj.,醫學,,Autoimmune diseases occur when the body's immune system mistakenly attacks its own cells.,Lupus is a common example of an autoimmune disorder that affects multiple organ systems.,,,251007B036,「2。0测试」
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˈmʌltəpəl skləˈroʊsɪs/,P.,醫學,,Multiple sclerosis is a chronic disease that affects the central nervous system.,Many people with multiple sclerosis experience symptoms such as fatigue and mobility issues.,,,251007B036,「2。0测试」
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,,abbr.,醫學,,Guillain-Barré syndrome is a rare neurological disorder that affects the peripheral nervous system.,"After recovering from a mild respiratory infection, Margaret was diagnosed with Guillain-Barré syndrome, which left her with temporary muscle weakness.",,,251007B036,「2。0测试」
