AP - 动作电位,M000222,AP,动作电位,,abbr.,生物,,The term AP refers to an action potential in biological contexts.,"During a nerve impulse, the AP travels along the axon, triggering synaptic transmission.",,,250925A036,「优化UI 测试」
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒnsɛnˈtreɪʃən/,n.,,,Concentration refers to the amount of a substance in a given volume of solution.,The concentration of salt in the ocean is significantly higher than in freshwater lakes.,,,250925A036,「优化UI 测试」
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɒs.fəˈlɪp.ɪd/,n.,生物,,A phospholipid is a type of lipid molecule that is a major component of all cell membranes. ,"Egg yolks are rich in phospholipid, which contributes to their creamy texture in sauces.",,,250925A036,「优化UI 测试」
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪ.ər/,n.,生物,,A bilayer is a structure composed of two layers of material or molecules.,The cell membrane is a common example of a bilayer formed by phospholipids.,,,250925A036,「优化UI 测试」
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,Mammalian species are characterized by their ability to nurse their young with milk.,The research focused on the unique features of mammalian adaptations in cold environments.,,,250925A036,「优化UI 测试」
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnɒnɪkəl ˈaɪɒnɪk dɪsˈtrɪbjuːʃənz/,P.,化學,,Canonical ionic distributions describe the typical arrangement of ions in a crystal lattice.,"In solid-state chemistry, researchers often analyze the canonical ionic distributions to predict the properties of materials.",canonical ionic distributions,typical_arrangement_of_ions_in_a_crystal_lattice,250925A036,「优化UI 测试」
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd pəˈtɛnʃəlz/,P.,生物,,Graded (passive) potentials are changes in the membrane potential that vary in magnitude.,"In a neuron, graded (passive) potentials can lead to the generation of action potentials if they reach a certain threshold.",,,250925A036,「优化UI 测试」
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,生物,,Threshold potential refers to the minimum level of stimulus that must be reached before a neuron will fire an action potential.,"In order for the neuron to transmit a signal, it must reach its threshold potential.",threshold potential,minimum_level_of_stimulus,250925A036,「优化UI 测试」
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərʃuːt/,vt.,,,"To overshoot means to go beyond a target or goal, often resulting in excessive movement or action.",The airplane had to circle back after it began to overshoot the runway during landing.,,,250925A036,「优化UI 测试」
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndərˈʃut/,vt.,,,"To undershoot is to fail to reach a target or goal, resulting in a lower outcome than intended.","The rocket's trajectory caused it to undershoot the expected orbit, leading to a miss of the satellite deployment.",,,250925A036,「优化UI 测试」
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vt.,,,Drift refers to the act of moving slowly or aimlessly from one place to another.,"As the river began to drift over its banks, people started to evacuate the area.",,,250925A036,「优化UI 测试」
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,,abbr.,生物,,V-G ion channels are essential for the generation of action potentials in neurons.,The function of V-G ion channels is critical in the process of neurotransmitter release at synapses.,,,250925A036,「优化UI 测试」
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstroʊˌpɒd/,n.,生物,,A gastropod is a type of mollusk that includes snails and slugs among its members.,"In my garden, I often find a variety of gastropods crawling on the leaves.",,,250925A036,「优化UI 测试」
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/ˈnoʊdz əv ˈrænvieɚ/,P.,生物,,Nodes of Ranvier are small gaps in the myelin sheath of a neuron.,"The electrical impulses jump from one node to another at the nodes of Ranvier, speeding up the signal transmission.",node of ranvier,gap_of_myelinated_neuron,250925A036,「优化UI 测试」
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/ˈsæl.təˌtɔːr.i kənˈdʌk.ʃən/,P.,生物,,Saltatory conduction is the process by which nerve impulses jump from one node of Ranvier to another along myelinated axons.,"In myelinated neurons, saltatory conduction allows for faster transmission of electrical signals compared to continuous conduction.",saltatory conduction,jumping_transmission,250925A036,「优化UI 测试」
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,醫學,,Pathologies are studies that focus on the nature and causes of diseases.,The pathologies examined in the research included various autoimmune disorders.,,,250925A036,「优化UI 测试」
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəʊɪˈmjun/,adj.,醫學,,Autoimmune diseases occur when the body's immune system mistakenly attacks healthy cells.,Multiple sclerosis is an example of an autoimmune disorder that affects the central nervous system.,,,250925A036,「优化UI 测试」
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,,P.,醫學,,Multiple sclerosis is a chronic disease affecting the central nervous system.,The doctor diagnosed her with multiple sclerosis after she experienced various neurological symptoms.,,,250925A036,「优化UI 测试」
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ɡiːˈjɛ̃ː bɑːˈreɪ ˈsɪndroʊm/,P.,醫學,,Guillain-Barré syndrome is a rare neurological disorder that leads to the body's immune system attacking the nerves.,"After experiencing a flu-like illness, she was diagnosed with Guillain-Barré syndrome and required intensive rehabilitation.",,,250925A036,「优化UI 测试」
