WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,,,A synapse is the small gap between two neurons where nerve impulses are transmitted chemically or electrically.,"The drug affects the strength of the synapse, altering how signals pass between neurons.",syn apse,together fasten,250918A036,「脑科学Week2 Part1」
Repolarization - 复极化,M000237,Repolarization,复极化,/riˌpoʊləraɪˈzeɪʃən/,n.,,,Repolarization is the process by which a cell membrane's electrical potential returns toward its resting negative value after depolarization.,Repolarization of cardiac cells is essential for setting the timing of each heartbeat.,re polar ization,again pole process_of,250918A036,「脑科学Week2 Part1」
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,,P.,,,,,chem ical grad ient,chemistry quality step quality,250918A036,「脑科学Week2 Part1」
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljələr/,adj.,,,Intracellular describes something that occurs or exists inside a cell.,Scientists studied how the virus evades intracellular immune responses.,intra cell ular,within cell pertaining_to,250918A036,「脑科学Week2 Part1」
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɑnsənˈtreɪʃən/,n.,,,Concentration is the amount of a substance present per unit volume or mass of a mixture or solution.,The concentration of glucose in the blood sample was higher than normal.,con centr ation,together center state_of,250918A036,「脑科学Week2 Part1」
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑs.foʊˈlɪp.ɪd/,n.,,,A phospholipid is a lipid molecule that contains a phosphate group and commonly forms the bilayer structure of cell membranes.,The scientist analyzed the phospholipid composition of the cell membrane to study membrane fluidity.,phospho lipid,phosphate fat,250918A036,「脑科学Week2 Part1」
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɚ/,n.,,,Bilayer is a structure composed of two closely apposed layers.,The phospholipid bilayer of the cell membrane controls the passage of ions and molecules.,bi layer,two layer,250918A036,「脑科学Week2 Part1」
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,,,Mammalian describes animals of the class Mammalia that nurse their young and typically have hair or fur.,Scientists compared the mammalian genomes to trace evolutionary relationships among species.,mammal ian,breast relating_to,250918A036,「脑科学Week2 Part1」
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnænɪkəl aɪˈɑnɪk ˌdɪstrəˈbjuʃənz/,P.,,,Canonical ionic distributions are the typical spatial arrangements of ions in a material or solution under well-defined conditions.,In the simulation we observed canonical ionic distributions near the electrode surface at equilibrium.,canon ion distribution,rule charged_particle give_out,250918A036,「脑科学Week2 Part1」
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd ˈpæsɪv pəˈtɛnʃəlz/,P.,,,"Graded (Passive) potentials are local, nonregenerative changes in a cell membrane's electrical potential whose magnitude depends on stimulus strength and that spread passively along the membrane.",Graded (Passive) potentials produced by the sensory receptor decreased in amplitude as they spread away from the stimulus site.,grad pass potent,step suffer power,250918A036,「脑科学Week2 Part1」
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃˌhoʊld pəˈtɛnʃəl/,P.,,,Threshold potential is the membrane voltage at which a neuron initiates an action potential.,"When the neuron depolarized to the Threshold potential, it fired an action potential.",potent ial,power relating_to,250918A036,「脑科学Week2 Part1」
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvɚˌʃut/,n.,,,Overshoot is the amount by which a system's output exceeds its target value during a transient response.,"The temperature controller produced an overshoot when the heater was switched on, briefly raising the room above the setpoint.",,,250918A036,「脑科学Week2 Part1」
Undershoot - 下冲,M000248,Undershoot,下冲,,vt.,,,,,,,250918A036,「脑科学Week2 Part1」
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,,,"To drift means to move slowly and passively, carried by a current or by gradual forces without a fixed direction.",The small boat began to drift out to sea when the engine stalled.,,,250918A036,「脑科学Week2 Part1」
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,voltage-gated channels,P.,,,V-G ion channels are membrane proteins that open or close in response to changes in membrane voltage to allow selective ion flow across the cell membrane.,Blocking V-G ion channels reduced neuronal firing during the experiment.,ion channel,charged_particle passage,250918A036,「脑科学Week2 Part1」
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəpɑd/,n.,,,A gastropod is a type of mollusk that moves on a broad muscular foot and usually has a single coiled shell.,The garden snail is a common gastropod that emerged after the rain.,gastro pod,stomach foot,250918A036,「脑科学Week2 Part1」
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/ˌnoʊdz əv rænˈvi.eɪ/,P.,,,Nodes of ranvier are periodic gaps in the myelin sheath along a myelinated axon that enable saltatory conduction of action potentials.,During the lab the students stained nerve fibers to visualize how Nodes of ranvier concentrate ion channels at regular intervals.,node,knot,250918A036,「脑科学Week2 Part1」
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,,P.,,,,,saltat ory con duc tion,jump relating_to together lead act_or_state,250918A036,「脑科学Week2 Part1」
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,,,Pathologies refers to the scientific study of disease processes and the structural and functional changes they produce.,"Certain pathologies (autoimmune, infectious, genetic, etc.) cause the degeneration of myelin sheath in specific neurons.",patho logy,disease study_of,250918A036,「脑科学Week2 Part1」
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtoʊɪˈmjun/,adj.,,,Autoimmune describes a condition in which the immune system mistakenly attacks the body's own tissues.,Autoimmune diseases can cause widespread fatigue and joint pain.,auto immune,self protected_from,250918A036,「脑科学Week2 Part1」
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˌmʌltəpəl skləˈroʊsɪs/,P.,,,Multiple sclerosis is a chronic autoimmune disease of the central nervous system characterized by demyelination and scarring.,"After months of unexplained numbness and fatigue, she was diagnosed with multiple sclerosis.",multi scler osis,many hard condition,250918A036,「脑科学Week2 Part1」
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ˌɡiːˈjæn bəˈreɪ ˈsɪndroʊm/,P.,,,"Guillain-barré syndrome is an acute autoimmune disorder in which the immune system attacks peripheral nerves, causing rapidly progressive weakness and often temporary paralysis.","After a bout of Campylobacter infection, she developed Guillain-barré syndrome and had to relearn how to walk.",syn drome,together running,250918A036,「脑科学Week2 Part1」
