WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
Phospholipid - 磷脂,M000241,Phospholipid,磷脂, /ˌfɒsfoʊˈlɪpɪd/,n.,biology,,A phospholipid is a type of lipid molecule that is a major component of cell membranes.,Phospholipids help to maintain the structure and integrity of cell membranes.,,phosphorus_fatty_acid,250920D058,「ccc」
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪɚ/,n.,biology,,"A bilayer is a structure consisting of two layers, typically found in biological membranes.",The cell membrane is made up of a phospholipid bilayer that separates the interior of the cell from the external environment.,,two_layers,250920D058,「ccc」
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/ˌmæməˈleɪniən/,adj.,biology,,Mammalian refers to characteristics or features related to mammals.,Bats are fascinating mammals that can navigate using echolocation.,mamma-,mammal_related,250920D058,「ccc」
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,ˈkænənɪkəl ˈaɪənɪk dɪsˈtrɪbjuːʃənz,P.,chemistry,,Canonical ionic distributions refer to the typical arrangement of ions in a given scenario.,"In electrochemistry, we often analyze canonical ionic distributions to understand ion movement.",,typical_ionic_distributions,250920D058,「ccc」
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,ˈɡreɪdəd,P.,physiology,,Graded potentials are changes in the membrane potential of a neuron that occur in response to stimuli.,The graded potentials in the neuron help determine whether an action potential will be generated.,graded passive,graded_passive_electrical_potentials,250920D058,「ccc」
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,ˈθrɛʃhoʊld pəˈtɛnʃəl,P.,physiology,,The threshold potential is the critical level to which a membrane potential must be depolarized to initiate an action potential in neurons.,"When the neuron's membrane potential reaches the threshold potential, it triggers a nervous impulse.",threshold potential,critical_level_to_initiate_action_potential,250920D058,「ccc」
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərˌʃut/,vt.,aeronautic,,To overshoot means to exceed or go beyond a target or limit.,The rocket overshot its intended trajectory due to a calculation error.,over,exceeding_target,250920D058,「ccc」
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndərˈʃut/,vt.,athletics,,To undershoot is to fall short of a target in a measurement or performance.,The athlete managed to undershoot the distance by a couple of meters.,,undershoot,250920D058,「ccc」
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vt.,transport,,To drift means to move slowly or aimlessly from one place to another.,"As the boat began to drift away from the shore, he reached out to grab the oar.",,,250920D058,「ccc」
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,voltage-gated channels,P.,biology,,V-G ion channels are proteins that open or close in response to changes in membrane potential.,Nerve cells rely on V-G ion channels to transmit electrical signals across their membranes.,,voltage_gated_ion_channels,250920D058,「ccc」
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɒd/,n.,biology,,"A gastropod is a type of mollusk characterized by a single, usually spiraled shell and a soft body.",The garden was filled with colorful gastropods like snails and slugs.,,mollusk_with_a_soft_body_and_a_shell,250920D058,「ccc」
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,ˈnoʊdz əv rəŋˈvjɛr,P.,anatomy,,Nodes of Ranvier are the gaps in the myelin sheath of a nerve fiber where the axon is exposed.,"The action potentials jump from one node of Ranvier to another, increasing the speed of nerve impulse transmission.",node_of ranvier,gaps_in_myelin_sheath,250920D058,「ccc」
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,'/sɔːlˈteɪtəri ˌkənˈdʌkʃən/',P.,biology,,Saltatory conduction refers to the rapid transmission of nerve impulses along myelinated axons.,"In saltatory conduction, the action potential jumps from one Node of Ranvier to the next.",saltat,jumping_type_transmission,250920D058,「ccc」
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,medicine,,"Pathologies are the study of diseases and their causes, processes, development, and consequences.","Certain pathologies (autoimmune, infectious, genetic, etc.) cause the degeneration of myelin sheath in specific neurons.",,diseases_study,250920D058,「ccc」
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəʊɪmˈjun/,adj.,medicine,,An autoimmune condition occurs when the immune system mistakenly attacks the body's own tissues.,Many autoimmune diseases can cause fatigue and joint pain.,auto,self_immune,250920D058,「ccc」
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,ˈmʌltəpl skləˈroʊsɪs,P.,medicine,,Multiple sclerosis is a chronic disease that affects the central nervous system by damaging the myelin sheath.,She was diagnosed with multiple sclerosis after experiencing unusual neurological symptoms.,,multiple_sclerosis,250920D058,「ccc」
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,abbr. Guillain-Barré syndrome,P.,medicine,,Guillain-barré syndrome is a rare neurological disorder that attacks the peripheral nervous system.,Patients with Guillain-barré syndrome often experience weakness and tingling in their legs.,guillain-barré,guillain_barré_syndrome,250920D058,「ccc」
