WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,ˈkænəˌnɪkəl ˈaɪənɪk dɪsˈtrɪbjuːʃənz,P.,,,Canonical ionic distributions refer to the standard arrangements of ions in an ionic compound.,"In this compound, the canonical ionic distributions help predict how the ions will interact during a chemical reaction.",canonical ionic distributions,canonical_ionic_distributions,250920A058,「u」
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,./ˈɡreɪdɪd pəˈtɛnʃəlz/.,P.,,,Graded potentials are changes in membrane potential that vary in size and are typically not all-or-nothing responses.,"Neurons communicate through graded potentials, which allow for more nuanced signaling than simple action potentials.",,graded_passive_potentials,250920A058,「u」
Threshold potential - 阈电位,M000246,Threshold potential,阈电位, /ˈθrɛʃhoʊld pəˈtɛnʃəl/ ,P.,,,Threshold potential is the minimum level of stimulation required to trigger a neural impulse.,"When the stimulus reaches the threshold potential, the neuron fires an action potential.",__skip__,__skip__,250920A058,「u」
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərʃut/,vt.,,,To overshoot means to go beyond the intended target or goal.,"The rocket overshot its landing zone, landing several miles away.",over shoot,go_beyond_target,250920A058,「u」
Undershoot - 下冲,M000248,Undershoot,下冲,/ˈʌndərˌʃut/,vt.,,,To undershoot is to fail to reach a target or goal in an expected manner.,The athlete managed to undershoot the mark during his final jump.,under- shoot,to_fail_to_reach_the_target,250920A058,「u」
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,,,"Drift refers to the slow movement or change from one position to another, especially in a casual or unintentional way.",The leaves began to drift down from the trees as autumn approached.,drift_,slow_movement,250920A058,「u」
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,voltage-gated channels,P.,,,V-G ion channels are crucial for the propagation of electrical signals in neurons and muscle cells.,Calcium ions flow through V-G ion channels during the action potential of a neuron.,v-g,voltage_gated,250920A058,「u」
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɒd/,n.,,,A gastropod is a type of mollusk that typically has a single shell or no shell at all.,"The garden was filled with various gastropods, including snails and slugs.",,gastr_on_foot,250920A058,「u」
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/noʊdz əv ˈrænviːər/,P.,,,The nodes of Ranvier are small gaps in the myelin sheath of a nerve cell.,The signals travel faster due to the presence of the nodes of Ranvier.,node ranv,gaps_in_myelin_sheath,250920A058,「u」
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导, /sɔːlˈtætəri ˌkənˈdʌkʃən/ ,P.,,,Saltatory conduction is a process where nerve impulses jump between nodes of Ranvier along myelinated axons.,"The rapid signaling in neurons is facilitated by saltatory conduction, improving the speed of communication in the nervous system.",saltat- condu-,jumping_signal_transmission,250920A058,「u」
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,,,Pathologies refer to the study of diseases and their effects on the body.,"Certain pathologies (autoimmune, infectious, genetic, etc.) cause the degeneration of myelin sheath in specific neurons.",patho- logy- es,diseases_study_of,250920A058,「u」
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəʊɪˈmjuːn/,adj.,,,Autoimmune diseases occur when the body's immune system mistakenly attacks its own cells.,She was diagnosed with an autoimmune disorder affecting her joints.,auto_immune,self_defense_condition,250920A058,「u」
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,ˈmʌltəpəl skləˈroʊsɪs,P.,,,Multiple sclerosis is a chronic disease affecting the central nervous system.,She was diagnosed with multiple sclerosis last year.,multiple_scler,multiple_sclerosis,250920A058,「u」
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ɡiˈeɪn bɑˈreɪ ˈsɪndroʊm/,abbr.,,,Guillain-Barré syndrome is a rare neurological disorder where the body's immune system mistakenly attacks the peripheral nerves.,"After experiencing muscle weakness and numbness, she was diagnosed with Guillain-Barré syndrome.",__skip__,__skip__,250920A058,「u」
