WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,sodium-potassium pump,abbr.,生物,,The S-P pump is a vital transport protein that helps maintain the balance of sodium and potassium ions in cells.,The S-P pump operates continuously to regulate cellular ion concentrations.,,sodium-potassium_pump,250920J058,「eieiei」
Ion pump - 离子泵,M000233,Ion pump,离子泵,__SKIP__,abbr.,生物,,An ion pump is a protein that moves ions across a membrane against their concentration gradient.,The ion pump in the cell membrane helps maintain the proper balance of ions within the cell.,,ion_pump,250920J058,「eieiei」
Depolarization - 去极化,M000234,Depolarization,去极化,__SKIP__,abbr.,生理,,Depolarization is the process by which a cell's membrane potential becomes less negative.,The depolarization of the neuron's membrane initiates an action potential.,de_,depolarization,250920J058,「eieiei」
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊləraɪˈzeɪʃən/,abbr.,生理,,Hyperpolarization occurs when the voltage across a neuron's membrane becomes more negative than the resting potential.,"After the inhibitory neurotransmitter was released, the neuron experienced hyperpolarization, making it less likely to fire an action potential.",hyper- polar- ization,more_negative_than_resting_potential,250920J058,「eieiei」
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæpˌsɪs/,abbr.,生物,,A synapse is the junction between nerve cells that allows them to communicate with each other.,"The release of neurotransmitters occurs at the synapse, facilitating the transmission of signals.",syn-apse,junction_between_nerve_cells,250920J058,「eieiei」
Repolarization - 复极化,M000237,Repolarization,复极化,__SKIP__,abbr.,生理,,Repolarization refers to the process of restoring a membrane potential to its original state after depolarization.,The nerve cells undergo repolarization after firing an action potential.,re- polarize-tion,restore_membrane_potential,250920J058,「eieiei」
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,__SKIP__,abbr.,生物,,A chemical gradient refers to a gradual change in the concentration of a substance across a distance in a solution or environment.,Cells often move along a chemical gradient to reach areas of higher concentration.,chemical gradient,concentration_change_across_distance,250920J058,「eieiei」
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljələr/,abbr.,生物,,Intracellular refers to something that exists or occurs within a cell.,The drug is designed to target intracellular pathways to improve its efficacy.,,cell_within,250920J058,「eieiei」
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒnsənˈtreɪʃən/,abbr.,化學,,Concentration refers to the amount of a substance present in a given volume of solution.,The concentration of salt in the ocean is about 35 grams per liter.,,substance_present_volume_solution,250920J058,「eieiei」
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɒs.fəˈlɪp.ɪd/,abbr.,生化,,"Phospholipids are essential components of cell membranes that consist of a glycerol backbone, two fatty acid tails, and a phosphate group.",The structure of phospholipids allows them to form bilayers in aqueous environments.,,phospho_lipid,250920J058,「eieiei」
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪər/,abbr.,生物,,A bilayer consists of two layers that are typically arranged parallel to each other.,The cell membrane is made up of a phospholipid bilayer that controls the movement of substances in and out of the cell.,,two_layers,250920J058,「eieiei」
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/mæˈmeɪliən/,abbr.,生物,,The mammalian heart is unique in its structure and function compared to other animal groups.,Dolphins are an example of mammalian species that have adapted to aquatic life.,,mammal_related,250920J058,「eieiei」
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,__SKIP__,abbr.,化學,,Canonical ionic distributions refer to the typical arrangement of ions in a chemical system.,"In solid-state chemistry, understanding canonical ionic distributions is crucial for predicting material properties.",,typical_ionic_distributions,250920J058,「eieiei」
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,__SKIP__,abbr.,生理,,Graded potentials are changes in the membrane potential of a neuron that vary in size based on the strength of the stimulus.,The graded potentials in the dendrites can lead to an action potential if they reach the threshold.,graded_potential,graded_passive_potentials,250920J058,「eieiei」
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,__SKIP__,abbr.,生理,,The threshold potential is the level of depolarization that must be reached for an action potential to occur in a neuron.,"When a neuron reaches its threshold potential, it fires an action potential.",,threshold_potential,250920J058,「eieiei」
Overshoot - 超冲,M000247,Overshoot,超冲,__SKIP__,abbr.,航空,,To overshoot means to go beyond a target or limit.,The rocket overshot its intended orbit.,over-,go_beyond_a_limit,250920J058,「eieiei」
Undershoot - 下冲,M000248,Undershoot,下冲,__SKIP__,abbr.,航空,,To undershoot means to fail to reach a target or goal in a particular situation.,The airplane undershot the runway during landing.,under-,fail_to_reach_target,250920J058,「eieiei」
Drift - 漂移,M000249,Drift,漂移,__SKIP__,abbr.,,,"To drift means to move slowly away from a fixed position, often due to external forces like wind or water.",The leaves began to drift down from the trees as autumn arrived.,drift,move_away_from_fixed_position,250920J058,「eieiei」
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,voltage-gated channels,abbr.,生物,,V-G ion channels are specialized protein pathways in cell membranes that open or close in response to changes in voltage across the membrane.,"When the neuron's membrane potential changes, V-G ion channels facilitate the flow of ions such as sodium and potassium.",,voltage_gated_ion_channels,250920J058,「eieiei」
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɑd/,abbr.,生物,,A gastropod is a type of mollusk that is characterized by a soft body and usually a coiled shell.,Snails and slugs are both considered gastropods.,,soft_body_mollusk,250920J058,「eieiei」
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,__SKIP__,abbr.,解剖,,The nodes of Ranvier are small gaps in the myelin sheath of a nerve fiber that facilitate the rapid transmission of electrical impulses.,"The action potential jumps from one node of Ranvier to the next, speeding up signal conduction.",node of ranvier,gaps_in_myelin_sheath,250920J058,「eieiei」
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,__SKIP__,abbr.,生物,,Saltatory conduction is the process by which nerve impulses jump from one node of Ranvier to another along the myelinated axon.,"In saltatory conduction, the action potential travels faster than in unmyelinated fibers.",,jumping_conduction,250920J058,「eieiei」
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɒlədʒiz/,abbr.,醫學,,Pathologies are the study of disease and its effects on the body.,"Certain pathologies (autoimmune, infectious, genetic, etc.) cause the degeneration of myelin sheath in specific neurons.",,disease_study,250920J058,「eieiei」
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəʊɪmˈjun/,abbr.,醫學,,Autoimmune diseases occur when the body's immune system mistakenly attacks its own tissues.,Lupus is a type of autoimmune disorder that can affect multiple organs.,,auto_immunity,250920J058,「eieiei」
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,__SKIP__,abbr.,醫學,,Multiple sclerosis is a disease that affects the central nervous system.,She was diagnosed with multiple sclerosis last year.,multi- sclerosis-,multiple_sclerosis,250920J058,「eieiei」
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,__SKIP__,P.,醫學,,Guillain-barré syndrome is a rare neurological disorder in which the body's immune system attacks the nerves.,Patients with Guillain-barré syndrome may experience muscle weakness and tingling in the extremities.,guillain-barré_,guillain_barré_syndrome,250920J058,「eieiei」
