WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑs.fəˈlɪ.pɪd/,n.,biochemistry,,A phospholipid is a type of lipid molecule that forms the structural foundation of cell membranes.,Phospholipids play a crucial role in maintaining the integrity of cells.,,phospho_lipid,250920G058,「mei」
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪər/,n.,biology,,"A bilayer consists of two distinct layers of materials, often used in biological membranes.",The cell membrane is composed of a phospholipid bilayer that protects the interior of the cell.,bi- layer,two_layers,250920G058,「mei」
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/mæˈmeɪliən/,adj.,biology,,Mammalian refers to characteristics or qualities associated with mammals.,The mammalian heart is more complex than that of reptiles.,,mammal_related,250920G058,「mei」
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnænɪkəl ˈaɪənɪk dɪsˈtrɪbjuʃənz/,P.,chemistry,,Canonical ionic distributions describe the standard arrangements of ions in a crystal lattice.,Researchers studied the canonical ionic distributions in various electrolyte solutions to improve battery performance.,canonical_ ionic_ distribution_,standard_ion_arrangement,250920G058,「mei」
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdəd ˈpəˈtɛnʃəlz/,P.,physiology,,Graded potentials are changes in membrane voltage that vary in size and are passive responses to stimuli.,Neurons can exhibit graded potentials when they receive sensory input.,,graded_potentials,250920G058,「mei」
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,physiology,,Threshold potential refers to the minimum level of stimulus needed to trigger an action potential in a neuron.,The threshold potential for action potentials is typically around -55 millivolts in neurons.,,threshold_potential,250920G058,「mei」
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərʃut/,vt.,aeronautic,,"To overshoot is to exceed the target or desired level, often by aiming too far beyond it.","The rocket's engines failed, causing it to overshoot its planned trajectory.",over-,exceed_target,250920G058,「mei」
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndərˈʃut/,vt.,archery,,"To undershoot means to fail to reach a target or goal, particularly in distance.",The arrow undershot the target completely.,,undershoot,250920G058,「mei」
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,,,"To drift means to move slowly or aimlessly, typically under the influence of a current or wind.",The leaves began to drift away with the gentle breeze.,drift,move_aimlessly,250920G058,「mei」
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,voltage-gated channels,abbr.,biology,,V-G ion channels are protein structures in cell membranes that open or close in response to changes in voltage across the membrane.,"When the neuron depolarizes, V-G ion channels open to allow sodium ions to flow into the cell.",,voltage_gated_ion_channels,250920G058,「mei」
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstroʊˌpɑd/,n.,biology,,"A gastropod is a type of mollusk that includes snails and slugs, characterized by a single, spiraled shell or no shell at all.","The garden was filled with various gastropods, leaving trails of slime behind them.",gastropod,stomach_foot,250920G058,「mei」
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/noʊdz əv ˈrænfieɚ/,P.,anatomy,,The nodes of Ranvier are small gaps in the myelin sheath that facilitate rapid signal transmission in nerve fibers.,"The electrical impulses in the nerve cells leap between the nodes of Ranvier, speeding up communication in the nervous system.",node ranvi er,gap_in_myelin_sheath,250920G058,「mei」
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/ˌsælˈteɪtɔːri kənˈdʌkʃən/,P.,physiology,,Saltatory conduction refers to the process by which nerve impulses jump from one node of Ranvier to another along myelinated axons.,This rapid transmission speeds up signaling in the nervous system through saltatory conduction.,salta- condu-,jumping_transmission,250920G058,「mei」
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,medicine,,Pathologies are the scientific study of the causes and effects of diseases.,"Certain pathologies (autoimmune, infectious, genetic, etc.) cause the degeneration of myelin sheath in specific neurons.",,causes_and_effects_of_diseases,250920G058,「mei」
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəʊɪˈmjun/,adj.,medicine,,An autoimmune condition occurs when the body's immune system attacks its own cells.,She was diagnosed with an autoimmune disorder that affected her joints.,,autoimmune,250920G058,「mei」
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˈmʌltəpəl skləˈroʊsɪs/,P.,medicine,,Multiple sclerosis is a disease that affects the central nervous system by damaging the protective covering of nerves.,She was diagnosed with multiple sclerosis at a young age.,,multiple_sclerosis,250920G058,「mei」
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ɡiˈjeɪn bɑˈreɪ ˈsɪnˌdroʊm/,P.,medicine,,Guillain-barré syndrome is a rare neurological disorder that causes the body's immune system to attack the peripheral nervous system.,Symptoms of Guillain-barré syndrome can include weakness and tingling in the extremities.,guillain-barré,guillain_barré_syndrome,250920G058,「mei」
