Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd ˈpæsɪv pəˈtɛnʃəlz/,P.,,,Graded potentials are local changes in membrane potential that vary in magnitude proportionally to the strength of the stimulus and decrease with distance from the site of stimulation.,"When a neurotransmitter binds to receptors on a dendrite, it produces graded potentials that may summate to trigger an action potential at the axon hillock.",,,251012C036,
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,,,Threshold potential is the minimum voltage level that must be reached for a neuron to generate an action potential.,"When the membrane depolarizes and reaches the threshold potential of approximately -55 mV, voltage-gated sodium channels open rapidly.",,,251012C036,
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvɚʃut/,n.,工程,,An overshoot occurs when a system's response exceeds its target or steady-state value before stabilizing.,The oscilloscope displayed a significant overshoot in the voltage waveform after the circuit was switched on.,over shoot,beyond shoot,251012C036,
Undershoot - 下冲,M000248,Undershoot,下冲,/ˈʌndɚʃut/,vt.,,,"To undershoot means to fall short of a target or intended point, typically in aviation, projectile motion, or numerical estimations.",The pilot had to execute a go-around maneuver because the aircraft would undershoot the runway in the strong headwind conditions.,under shoot,below fire,251012C036,
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,物理,,To drift means to be carried slowly by currents of water or air without control.,The boat began to drift downstream after the anchor broke loose.,,,251012C036,
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,/ˈviˈdʒi ˈaɪɑn ˈtʃænəlz/,P.,,,"V-G ion channels are transmembrane proteins that open or close in response to changes in membrane voltage, allowing selective ion passage across cell membranes.","During an action potential, V-G ion channels open sequentially to allow sodium and potassium ions to flow across the neuronal membrane.",,,251012C036,
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɑd/,n.,生物,,"A gastropod is a mollusk with a muscular foot on its ventral side, including snails and slugs.",The garden snail is a common gastropod found in many backyards.,gastr pod,stomach foot,251012C036,
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/ˈnoʊdz əv rɑnˈvieɪ/,P.,,,"Nodes of Ranvier are the small gaps in the myelin sheath along myelinated axons where the nerve impulse jumps from one node to the next, enabling rapid signal transmission.","During nerve conduction studies, the action potential propagates rapidly by jumping between nodes of Ranvier in a process called saltatory conduction.",,,251012C036,
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/ˈsæltəˌtɔri kənˈdʌkʃən/,P.,,,Saltatory conduction is the rapid propagation of action potentials along myelinated axons where the signal jumps from one node of Ranvier to the next.,"In multiple sclerosis, demyelination disrupts saltatory conduction and slows down nerve impulse transmission.",saltat con duct,leap_or_jump with lead,251012C036,
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,醫學,,"Pathologies refer to the scientific study of diseases and their causes, processes, and effects on the body.",Medical students must study various pathologies to understand how different diseases affect human organs and tissues.,patho logy,disease study_of,251012C036,
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔtoʊɪˈmjun/,adj.,醫學,,Autoimmune conditions occur when the body's immune system mistakenly attacks its own healthy cells and tissues.,Rheumatoid arthritis is an autoimmune disease that causes chronic inflammation of the joints.,auto immune,self immune,251012C036,
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˈmʌltɪpəl skləˈroʊsɪs/,P.,醫學,,Multiple sclerosis is a chronic autoimmune disease in which the immune system attacks the protective myelin sheath covering nerve fibers in the brain and spinal cord.,"After experiencing vision problems and numbness in her limbs, Sarah was diagnosed with multiple sclerosis and began immunotherapy treatment.",multi scler osis,many hardening condition,251012C036,
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ɡiˈjæn bəˈreɪ ˈsɪndroʊm/,P.,,,"Guillain-Barré syndrome is a rare neurological disorder in which the body's immune system mistakenly attacks the peripheral nerves, causing muscle weakness and sometimes paralysis.","After recovering from a respiratory infection, the patient was diagnosed with Guillain-Barré syndrome when she experienced progressive weakness in her legs.",,,251012C036,
